Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Ethiopia,Proportion of population using at least basic drinking water services,Total,2016,40.041424,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using at least basic drinking water services,Total,2017,41.059952,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using improved drinking water sources free of faecal and priority chemical contamination,Total,2016,53.580021,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using improved drinking water sources free of faecal and priority chemical contamination,Total,2017,55.698528,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using basic drinking water services,Total,2016,29.173164,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using basic drinking water services,Total,2017,29.615179,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of the population using of improved drinking water sources free of faecal and priority chemical contamination,Total,2016,13.511698,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of the population using of improved drinking water sources free of faecal and priority chemical contamination,Total,2017,13.973217,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using improved drinking water sources,Total,2016,66.367233,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using improved drinking water sources,Total,2017,68.900146,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using limited drinking water services,Total,2016,26.325809,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using limited drinking water services,Total,2017,27.840199,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using non-piped improved drinking water sources,Total,2016,31.514816,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using non-piped improved drinking water sources,Total,2017,32.868774,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using improved drinking water sources located on premises,Total,2016,17.049589,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using improved drinking water sources located on premises,Total,2017,18.254454,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
