"Date","Price","Open","High","Low","Change %"
"Jan 21, 2021","39.4492","39.4425","39.4492","39.4425","0.25%"
"Jan 20, 2021","39.3516","39.4378","39.4752","39.2600","0.02%"
"Jan 19, 2021","39.3422","39.4378","39.4715","39.3000","0.00%"
"Jan 18, 2021","39.3422","39.4309","39.4378","39.4309","0.04%"
"Jan 15, 2021","39.3284","39.4265","39.5251","39.2600","0.02%"
"Jan 14, 2021","39.3196","39.4206","39.5162","39.2500","0.03%"
"Jan 13, 2021","39.3078","39.4164","39.4578","39.2800","0.02%"
"Jan 12, 2021","39.2994","39.4101","39.4203","39.2750","0.03%"
"Jan 11, 2021","39.2868","39.4062","39.4832","39.2750","0.02%"
"Jan 08, 2021","39.2789","39.4011","39.4753","39.2500","0.03%"
"Jan 07, 2021","39.2687","39.4011","39.4332","39.2917","0.00%"
"Jan 06, 2021","39.2687","39.3883","39.4650","39.2500","0.06%"
"Jan 05, 2021","39.2432","39.3779","39.4394","39.2500","0.05%"
"Jan 04, 2021","39.2224","39.3572","39.4185","39.2000","0.11%"
"Jan 01, 2021","39.1809","39.3572","39.3945","39.3572","0.00%"
"Dec 31, 2020","39.1809","39.3356","39.3768","39.2000","0.11%"
"Dec 30, 2020","39.1378","39.3096","39.3416","39.2715","0.13%"
"Dec 29, 2020","39.0858","39.2865","39.3135","39.2453","0.12%"
"Dec 28, 2020","39.0396","39.2346","39.2944","39.1461","0.14%"
"Dec 25, 2020","38.9858","39.2346","39.2596","39.1558","-0.63%"
"Dec 24, 2020","39.2346","39.2059","39.2386","39.0626","0.07%"
"Dec 23, 2020","39.2059","39.1828","39.2138","39.1824","0.06%"
"Dec 22, 2020","39.1828","39.1558","39.1867","38.7950","0.07%"
"Dec 21, 2020","39.1558","39.1319","39.1637","38.8100","0.06%"
